"";"cache_id";"reporting_level";"area";"Nobs_rl_a";"Nobs_rl";"Nobs";"Perc_a";"Perc_rl"
"470";"BRA_2001_PNAD_D1_INC_GPWG";"national";"rural";52782;370983;370983;0,14;1
"471";"BRA_2002_PNAD_D1_INC_GPWG";"national";"urban";324664;378228;378228;0,86;1
"472";"BRA_2002_PNAD_D1_INC_GPWG";"national";"rural";53564;378228;378228;0,14;1
"473";"BRA_2003_PNAD_D1_INC_GPWG";"national";"urban";323872;377806;377806;0,86;1
"474";"BRA_2003_PNAD_D1_INC_GPWG";"national";"rural";53934;377806;377806;0,14;1
"475";"BRA_2004_PNAD_D1_INC_GPWG";"national";"urban";328134;392059;392059;0,84;1
"476";"BRA_2004_PNAD_D1_INC_GPWG";"national";"rural";63925;392059;392059;0,16;1
"477";"BRA_2005_PNAD_D1_INC_GPWG";"national";"urban";335715;401803;401803;0,84;1
"478";"BRA_2005_PNAD_D1_INC_GPWG";"national";"rural";66088;401803;401803;0,16;1
"479";"BRA_2006_PNAD_D1_INC_GPWG";"national";"urban";337850;403209;403209;0,84;1
"480";"BRA_2006_PNAD_D1_INC_GPWG";"national";"rural";65359;403209;403209;0,16;1
"481";"BRA_2007_PNAD_D1_INC_GPWG";"national";"urban";329879;392999;392999;0,84;1
"482";"BRA_2007_PNAD_D1_INC_GPWG";"national";"rural";63120;392999;392999;0,16;1
"483";"BRA_2008_PNAD_D1_INC_GPWG";"national";"urban";323567;384322;384322;0,84;1
"484";"BRA_2008_PNAD_D1_INC_GPWG";"national";"rural";60755;384322;384322;0,16;1
"485";"BRA_2009_PNAD_D1_INC_GPWG";"national";"urban";329831;391257;391257;0,84;1
"486";"BRA_2009_PNAD_D1_INC_GPWG";"national";"rural";61426;391257;391257;0,16;1
"487";"BRA_2011_PNAD_D1_INC_GPWG";"national";"urban";294441;345653;345653;0,85;1
"488";"BRA_2011_PNAD_D1_INC_GPWG";"national";"rural";51212;345653;345653;0,15;1
"489";"BRA_2012_PNADC-E1_D1_INC_GPWG";"national";"urban";323760;441139;441139;0,73;1
"490";"BRA_2012_PNADC-E1_D1_INC_GPWG";"national";"rural";117379;441139;441139;0,27;1
"491";"BRA_2013_PNADC-E1_D1_INC_GPWG";"national";"urban";329731;455062;455062;0,72;1
